달,구역코드,낮(08~12),오후(13~18),저녁(19~22),야간(23~08)
3월,DL-08,117,80,41,10
3월,DL-01,134,118,73,3
3월,DL-07,96,94,57,2
3월,DL-06,81,98,79,1
3월,DL-03,83,83,45,1
3월,DL-04,133,72,172,10
3월,DL-05,125,77,53,4
3월,DL-02,155,117,82,2
6월,DL-08,139,97,87,10
6월,DL-01,152,117,76,3
6월,DL-07,302,143,45,2
6월,DL-06,102,131,77,1
6월,DL-03,100,93,51,1
6월,DL-04,121,136,52,10
6월,DL-05,90,82,67,4
6월,DL-02,152,105,76,2
8월,DL-08,155,112,46,25
8월,DL-01,116,139,59,3
8월,DL-07,150,97,56,2
8월,DL-06,93,149,90,1
8월,DL-03,143,100,61,1
8월,DL-04,98,145,46,10
8월,DL-05,101,127,42,5
8월,DL-02,160,123,65,2
11월,DL-08,100,98,83,10
11월,DL-01,108,77,74,3
11월,DL-07,91,114,41,2
11월,DL-06,142,94,42,1
11월,DL-03,113,265,75,1
11월,DL-04,138,107,53,10
11월,DL-05,93,141,73,4
11월,DL-02,149,121,55,2
