연도,출입증,낮(08~12),오후(13~18),저녁(19~22),야간(23~08)
2014,C-318,28,32,0,0
2014,E-210,10,22,19,0
2014,G-052,0,0,12,10
2014,H-076,0,16,25,9
2014,L-153,32,23,0,0
2014,M-240,21,20,9,3
2014,N-117,0,22,21,8
2014,R-022,26,23,8,0
2014,X-404,19,14,9,3
2014,Z-088,27,24,10,0
2015,C-318,27,31,0,0
2015,E-210,11,26,22,0
2015,G-052,0,0,15,10
2015,H-076,0,18,28,9
2015,L-153,33,24,0,0
2015,M-240,20,19,8,3
2015,N-117,0,24,23,8
2015,R-022,28,24,9,0
2015,X-404,20,15,9,3
2015,Z-088,26,23,10,0
2016,C-318,25,28,0,0
2016,E-210,10,24,20,0
2016,G-052,0,0,16,10
2016,H-076,0,17,25,9
2016,L-153,31,23,0,0
2016,M-240,23,22,10,3
2016,N-117,0,25,23,8
2016,R-022,26,22,8,0
2016,X-404,18,13,8,17
2016,Z-088,27,24,9,0
2017,C-318,28,32,0,0
2017,E-210,11,25,22,0
2017,G-052,0,0,14,10
2017,H-076,0,16,25,9
2017,L-153,31,22,0,0
2017,M-240,20,19,8,3
2017,N-117,0,25,24,8
2017,R-022,27,24,8,0
2017,X-404,18,14,8,3
2017,Z-088,24,21,9,0
2018,C-318,27,31,0,0
2018,E-210,10,23,19,0
2018,G-052,0,0,13,10
2018,H-076,0,16,25,9
2018,L-153,30,22,0,0
2018,M-240,20,19,8,3
2018,N-117,0,25,23,8
2018,R-022,27,24,9,0
2018,X-404,20,15,9,3
2018,Z-088,26,23,10,0
2019,C-318,27,31,0,0
2019,E-210,11,25,21,0
2019,G-052,0,0,8,10
2019,H-076,0,16,24,9
2019,L-153,33,24,0,0
2019,M-240,21,20,9,3
2019,N-117,0,23,22,8
2019,R-022,26,23,8,0
2019,X-404,19,14,8,18
2019,Z-088,26,23,9,0
2020,C-318,26,30,0,0
2020,E-210,10,23,20,0
2020,G-052,0,0,16,10
2020,H-076,0,16,25,9
2020,L-153,31,23,0,0
2020,M-240,23,22,10,3
2020,N-117,0,22,21,8
2020,R-022,24,21,8,0
2020,X-404,19,14,8,3
2020,Z-088,26,22,9,0
2021,C-318,27,32,0,0
2021,E-210,10,24,21,0
2021,G-052,0,0,10,10
2021,H-076,0,16,23,9
2021,L-153,31,23,0,0
2021,M-240,23,22,10,3
2021,N-117,0,24,22,8
2021,R-022,26,23,8,0
2021,X-404,18,14,8,3
2021,Z-088,26,22,9,0
2022,C-318,26,29,0,0
2022,E-210,10,23,20,0
2022,G-052,0,0,12,10
2022,H-076,0,16,25,9
2022,L-153,30,22,0,0
2022,M-240,22,21,11,3
2022,N-117,0,24,23,8
2022,R-022,25,22,7,0
2022,X-404,19,14,9,18
2022,Z-088,25,22,8,0
2023,C-318,26,31,0,0
2023,E-210,10,24,20,0
2023,G-052,0,0,12,10
2023,H-076,0,18,26,9
2023,L-153,32,24,0,0
2023,M-240,22,21,10,3
2023,N-117,0,22,21,8
2023,R-022,27,24,8,0
2023,X-404,18,13,8,3
2023,Z-088,26,23,9,0
2024,C-318,27,31,0,0
2024,E-210,10,24,22,0
2024,G-052,0,0,14,10
2024,H-076,0,17,26,9
2024,L-153,30,21,0,0
2024,M-240,22,21,10,3
2024,N-117,0,26,25,8
2024,R-022,24,21,8,0
2024,X-404,17,13,7,3
2024,Z-088,28,24,10,0
2025,C-318,26,30,0,0
2025,E-210,10,24,21,0
2025,G-052,0,0,12,10
2025,H-076,0,17,26,9
2025,L-153,31,22,0,0
2025,M-240,21,20,10,3
2025,N-117,0,24,23,8
2025,R-022,26,23,8,0
2025,X-404,18,14,8,19
2025,Z-088,26,23,9,0
