달,출입증,DL-01,DL-02,DL-03,DL-04,DL-05,DL-06,DL-07,DL-08
3월,C-318,6,7,5,6,5,11,7,7
3월,E-210,7,9,9,8,7,5,7,7
3월,G-052,3,3,2,3,3,2,3,3
3월,H-076,6,8,8,16,7,5,5,6
3월,L-153,7,9,6,5,7,5,11,5
3월,M-240,7,9,6,6,9,6,6,6
3월,N-117,5,9,6,6,6,5,6,10
3월,R-022,9,9,7,7,5,6,5,6
3월,X-404,7,9,6,7,6,6,7,6
3월,Z-088,9,9,5,6,6,5,5,7
6월,C-318,6,9,6,5,7,9,5,6
6월,E-210,6,8,11,8,6,7,5,5
6월,G-052,3,3,2,3,3,2,3,3
6월,H-076,6,8,7,10,7,5,5,5
6월,L-153,5,9,7,7,5,7,16,6
6월,M-240,5,8,5,7,10,7,7,7
6월,N-117,7,8,6,6,7,7,7,11
6월,R-022,9,7,5,5,7,5,5,6
6월,X-404,6,7,7,5,5,5,7,6
6월,Z-088,10,7,7,7,5,5,7,6
8월,C-318,6,7,7,7,6,9,7,7
8월,E-210,5,7,10,8,7,7,6,5
8월,G-052,3,3,2,3,3,2,3,3
8월,H-076,5,8,6,11,6,5,6,5
8월,L-153,5,9,6,6,6,7,9,5
8월,M-240,6,9,5,6,9,6,7,6
8월,N-117,7,7,7,6,5,7,5,11
8월,R-022,10,9,7,6,7,7,5,6
8월,X-404,6,7,7,5,7,5,5,17
8월,Z-088,11,9,7,6,7,6,6,6
11월,C-318,7,9,6,5,5,9,7,7
11월,E-210,5,7,11,7,6,7,6,7
11월,G-052,3,3,2,3,3,2,3,3
11월,H-076,5,7,8,11,5,6,6,6
11월,L-153,5,9,5,6,7,7,11,7
11월,M-240,6,7,7,5,10,7,5,5
11월,N-117,5,9,5,6,6,7,7,11
11월,R-022,9,8,5,7,7,6,7,5
11월,X-404,7,8,5,5,5,6,7,5
11월,Z-088,11,9,6,7,6,7,7,6
